1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D800000055DB0C21
Is Mission Active?  true
Mission Start:  Wed Sep 20 12:01:00 CEST 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  696
Total Samples:  16785
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date,Time,Unit,Value
10/16/23, 8:01:00 AM,C,12.5
10/16/23, 9:01:00 AM,C,12.5
10/16/23, 10:01:00 AM,C,12.5
10/16/23, 11:01:00 AM,C,12.5
10/16/23, 12:01:00 PM,C,12.5
10/16/23, 1:01:00 PM,C,13
10/16/23, 2:01:00 PM,C,13
10/16/23, 3:01:00 PM,C,13.5
10/16/23, 4:01:00 PM,C,13.5
10/16/23, 5:01:00 PM,C,13.5
10/16/23, 6:01:00 PM,C,13.5
10/16/23, 7:01:00 PM,C,13.5
10/16/23, 8:01:00 PM,C,13
10/16/23, 9:01:00 PM,C,13
10/16/23, 10:01:00 PM,C,13
10/16/23, 11:01:00 PM,C,12.5
10/17/23, 12:01:00 AM,C,12.5
10/17/23, 1:01:00 AM,C,12.5
10/17/23, 2:01:00 AM,C,12
10/17/23, 3:01:00 AM,C,12
10/17/23, 4:01:00 AM,C,12
10/17/23, 5:01:00 AM,C,12
10/17/23, 6:01:00 AM,C,11.5
10/17/23, 7:01:00 AM,C,11.5
10/17/23, 8:01:00 AM,C,11.5
10/17/23, 9:01:00 AM,C,11.5
10/17/23, 10:01:00 AM,C,11.5
10/17/23, 11:01:00 AM,C,12
10/17/23, 12:01:00 PM,C,12
10/17/23, 1:01:00 PM,C,12
10/17/23, 2:01:00 PM,C,12
10/17/23, 3:01:00 PM,C,12
10/17/23, 4:01:00 PM,C,12.5
10/17/23, 5:01:00 PM,C,12.5
10/17/23, 6:01:00 PM,C,12.5
10/17/23, 7:01:00 PM,C,12.5
10/17/23, 8:01:00 PM,C,12.5
10/17/23, 9:01:00 PM,C,12.5
10/17/23, 10:01:00 PM,C,12
10/17/23, 11:01:00 PM,C,12
10/18/23, 12:01:00 AM,C,12
10/18/23, 1:01:00 AM,C,12
10/18/23, 2:01:00 AM,C,12
10/18/23, 3:01:00 AM,C,12
10/18/23, 4:01:00 AM,C,12
10/18/23, 5:01:00 AM,C,12
10/18/23, 6:01:00 AM,C,12
10/18/23, 7:01:00 AM,C,12
10/18/23, 8:01:00 AM,C,12
10/18/23, 9:01:00 AM,C,12
10/18/23, 10:01:00 AM,C,12
10/18/23, 11:01:00 AM,C,12
10/18/23, 12:01:00 PM,C,12
10/18/23, 1:01:00 PM,C,12.5
10/18/23, 2:01:00 PM,C,21.5
10/18/23, 3:01:00 PM,C,20.5
10/18/23, 4:01:00 PM,C,21
10/18/23, 5:01:00 PM,C,21.5
10/18/23, 6:01:00 PM,C,21.5
10/18/23, 7:01:00 PM,C,21.5
10/18/23, 8:01:00 PM,C,21.5
10/18/23, 9:01:00 PM,C,21.5
10/18/23, 10:01:00 PM,C,21.5
10/18/23, 11:01:00 PM,C,21.5
10/19/23, 12:01:00 AM,C,21.5
10/19/23, 1:01:00 AM,C,21.5
10/19/23, 2:01:00 AM,C,22
10/19/23, 3:01:00 AM,C,22
10/19/23, 4:01:00 AM,C,22
10/19/23, 5:01:00 AM,C,22
10/19/23, 6:01:00 AM,C,22
10/19/23, 7:01:00 AM,C,22
10/19/23, 8:01:00 AM,C,22
10/19/23, 9:01:00 AM,C,22
10/19/23, 10:01:00 AM,C,22
10/19/23, 11:01:00 AM,C,20.5
